FSR_0,FSR_1,FSR_2,FSR_3,FSR_4,FSR_5,FSR_6,FSR_7,Swing time(s),Stride time(s),Swing percentage(%),Stride percentage(%),averageXAngleChange,뇌졸증 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,311.25,0,0,207.98,0,48280,1043,97.89,2.11,13.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556.23,3149.75,3088.08,2302.07,0,0,0,0,1045,1043,50.05,49.95,-12.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,413.08,0,0,0,0,1045,1029,50.39,49.61,11.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772.53,3726.35,2479.93,1913.37,0,0,0,0,1018,1029,49.73,50.27,-16.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,444.64,0,22.95,547.91,254.15,1018,1033,49.63,50.37,1.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2343.67,3547.06,3075.17,1534.72,0,0,0,0,1022,1033,49.73,50.27,31.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,545.04,0,513.48,1863.17,1451.8,1022,1022,50,50,-30.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394.15,3469.6,592.37,2306.38,0,0,0,0,1025,1022,50.07,49.93,1.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,592.37,282.56,1203.39,626.8,2391,1253.59,0,1025,1026,49.98,50.02,13.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,111.88,0,470.45,289.73,0,1025,1026,49.98,50.02,-15.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438.9,1716.87,839.07,2137.13,1279.41,3462.43,2596.11,0,2043,1026,66.57,33.43,1.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,410.21,0,0,0,0,2043,1034,66.4,33.6,-0.42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2340.8,4371.79,2679.3,3506.9,0,0,0,0,1044,1034,50.24,49.76,3.94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,225.19,0,502.01,0,0,0,0,1044,1036,50.19,49.81,-15.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606.15,4308.68,3036.44,2000.87,0,0,0,0,1027,1036,49.78,50.22,30.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202.24,0,496.27,0,14.34,45.9,0,1027,1029,49.95,50.05,-20.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,387.26,146.3,1888.99,1861.74,3558.53,3974.48,2975.04,1025,1029,49.9,50.1,28.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598.11,1078.6,1600.69,2310.68,1465.87,448.94,1450.09,0,131610,1029,99.22,0.78,-21.48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,506.31,0,2198.8,2323.59,1600.97,131610,1032,99.22,0.78,-4.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2422.56,2940.34,2393.87,2086.93,0,0,0,0,1019,1032,49.68,50.32,3.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,447.51,0,950.95,1326.74,707.39,1019,1024,49.88,50.12,-9.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575.16,1267.93,205.11,3006.32,1547.62,2183.03,1246.42,0,1028,1024,50.1,49.9,34.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732.93,2773.96,1784.29,3317.57,1270.8,71.72,87.49,0,1028,1024,50.1,49.9,-29.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,608.15,0,596.67,414.52,249.84,1028,2043,33.47,66.53,-1.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2591.8,3584.35,2580.33,1779.98,0,0,0,0,1028,2043,33.47,66.53,-2.72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,579.46,0,3165.53,2226.05,0,1028,1033,49.88,50.12,-7.68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
